Totalsales;Travel To
205,22;No_Travel To
160;BARDONECCHIA
264,66;No_Travel To
72;CATANIA
80;SAN GAVINO MONR
1560,64;No_Travel To
2380;CATANIA
560;CATANIA
716,93;No_Travel To
841,93;No_Travel To
100;SAN GAVINO MONR
288;TERRANUOVA BRAC
288;CATANIA
252;CATANIA
336;CATANIA
174,8;No_Travel To
265,12;No_Travel To
272,15;No_Travel To
90;FIUMICINO
59,9;ROMA
90;FIUMICINO
171;CATANIA
324;CATANIA
252;CATANIA
85;CATANIA
377,6;LA SPEZIA
408;LA SPEZIA
276;ASSEMINI
372;ASSEMINI
-276;ASSEMINI
204;LA SPEZIA
306;LA SPEZIA
253,5;CATANIA
103,5;TORINO
184,5;TORINO
225;ASSEMINI
170;LIVORNO
390;LIVORNO
294;LIVORNO
158;PARMA
116,9;No_Travel To
71;SCHIO
90;FIUMICINO
396,45;No_Travel To
75;ASSEMINI
801;CATANIA
253,5;CATANIA
216;MILANO
108;FIUMICINO
405;CATANIA
150;ASSEMINI
103,6;ROMA
156;CINISI
128;TERRANUOVA BRAC
210;VENEZIA
55,9;ROMA
72;MONTEVARCHI
49;No_Travel To
90;SAN GIULIANO MI
170;DOMODOSSOLA
240;ROMA
53,1;ROMA
82;CATANZARO
72;ROMA
106,32;No_Travel To
80;VENEZIA
84;ROMA
198;ROMA
72;LECCO
-70;LECCO
368;ANGUILLARA SABA
218,49;No_Travel To
-70;BOLOGNA
405;CATANIA
210;VENEZIA
128;TERRANUOVA BRAC
463,89;No_Travel To
129,93;No_Travel To
196,93;No_Travel To
108;FIUMICINO
134,7;No_Travel To
248,49;No_Travel To
215,9;No_Travel To
106,68;No_Travel To
136,9;No_Travel To
52,78;No_Travel To
315;MILANO
150;MONTEGROTTO TER
72,2;VENEZIA
122,35;No_Travel To
80;CATANIA
100;TRIVERO
200;TRIVERO
-200;TRIVERO
80;ASTI
256;GALATINA
80;DOMODOSSOLA
180;TERRANUOVA BRAC
280;GALATINA
216;DOMODOSSOLA
350;POGGIARDO
350;POGGIARDO
99,63;No_Travel To
285;DOMODOSSOLA
320;DOMODOSSOLA
66,6;ROMA
339,4;No_Travel To
144;CATANIA
294;CATANIA
75;MONTEGROTTO TER
207;CATANIA
297;CATANIA
240;UDINE
340;UDINE
280;GALATINA
360;GALATINA
280;GALATINA
350;POGGIARDO
210;POGGIARDO
240;UDINE
340;UDINE
274,02;No_Travel To
266,88;No_Travel To
109,24;No_Travel To
251,33;No_Travel To
138,6;ROMA
150,6;ROMA
-138,6;ROMA
236;ROMA
246;TERRANUOVA BRAC
95,19;No_Travel To
99;ROMA
85,47;No_Travel To
128;TERRANUOVA BRAC
177;TERRANUOVA BRAC
84;ROMA
58;TERRANUOVA BRAC
360;DOMODOSSOLA
236;ISTRANA
155,92;No_Travel To
78,54;No_Travel To
115,8;No_Travel To
285;TORINO
80;DOMODOSSOLA
64;ISTRANA
300;TRIESTE
90;MERONE
69;SESTO SAN GIOVA
199,37;No_Travel To
177;CAGLIARI
285;CAGLIARI
-177;CAGLIARI
150;MILANO
160;ALASSIO
160;ALASSIO
160;ALASSIO
96,7;No_Travel To
87,4;No_Travel To
53,91;ROMA
250;TRIVERO
74;ROMA
160;GALATINA
336;TRIVERO
148;ROMA
360;GALATINA
216;GALATINA
-360;GALATINA
140;GALATINA
98,1;ROMA
280;GALATINA
99;ROMA
350;POGGIARDO
350;POGGIARDO
134,18;No_Travel To
85,5;PADUA
89;VICENZA
71;SCHIO
-89;VICENZA
150;ROMA
330;ROMA
140;ROMA
103,5;CUNEO
90;VERBANIA
79;TORINO
80;VENEZIA
93,6;ROMA
180;TRIESTE
-180;TRIESTE
90;TRIESTE
69;ROMA
74;ROMA
-69;ROMA
207,55;No_Travel To
348;TERRANUOVA BRAC
400;DOMODOSSOLA
232;TERRANUOVA BRAC
236;TERRANUOVA BRAC
220;TERRANUOVA BRAC
160;ROMA
100;TRIVERO
200;TRIVERO
-200;TRIVERO
80;ASTI
70;CIVIDALE DEL FR
136;PALMANOVA
200;TRIVERO
200;TRIVERO
94,43;No_Travel To
80;ALASSIO
285;TORINO
120;TERRANUOVA BRAC
172;TRIVERO
-172;TRIVERO
119,7;ROMA
270,92;ROMA
235;TERRANUOVA BRAC
180;TERRANUOVA BRAC
174,99;TERRANUOVA BRAC
235;TERRANUOVA BRAC
250;TRIVERO
215;TERRANUOVA BRAC
300;CIVITA CASTELLA
75;CIVITA CASTELLA
-300;CIVITA CASTELLA
118;TERRANUOVA BRAC
300;CIVITA CASTELLA
95;TRIESTE
103,5;CUNEO
90;VERBANIA
89;SESTO SAN GIOVA
200;TRIVERO
200;TRIVERO
88;MESSINA
123,42;No_Travel To
320;GALATINA
360;GALATINA
320;GALATINA
350;POGGIARDO
350;POGGIARDO
240;MALBORGHETTO VA
240;MALBORGHETTO VA
240;MALBORGHETTO VA
44,87;No_Travel To
104,1;ROMA
208,2;ROMA
-208,2;ROMA
205,2;ROMA
89,1;ROMA
107;TORINO
115;ROMA
140;ROMA
156;CINISI
88;VIGEVANO
82;LIDO DI JESOLO
75;FERRARA
300;TERRANUOVA BRAC
2229,77;No_Travel To
81;MILANO
-187;VENEZIA
1422,72;No_Travel To
-273,6;KONYA
109,8;ROMA
109,8;MILANO
247,45;KONYA
318,6;KONYA
32,26;ABU DHABI
247,45;KONYA
318,6;KONYA
233,7;KONYA
318,6;KONYA
105,3;ROMA
105,3;VENEZIA
70;PARIGI
105,3;ROMA
105,3;VENEZIA
105,3;ROMA
105,3;VENEZIA
637;BISCARROSSE
280,44;KONYA
382,32;KONYA
120,42;TOULOUSE
-120,42;TOULOUSE
86,5;MILANO
109,8;ROMA
133,12;CATANIA
1696,91;ABU DHABI
-1687,27;ABU DHABI
70;PARIGI
324;BISCARROSSE
103,12;CATANIA
247,45;KONYA
318,6;KONYA
247,45;KONYA
318,6;KONYA
52,3;ROMA
52,3;NAPOLI
139,62;KONYA
86,08;No_Travel To
51,3;BOLOGNA
51,3;MILANO
266,11;AGADIR
-20,12;AGADIR
39;ROMA
53;SALERNO
109,8;ROMA
109,8;MILANO
14;FIUMICINO
14;ROMA
109,8;ROMA
109,8;MILANO
109,8;ROMA
109,8;MILANO
450;ISTANBUL
240,09;CAGLIARI
507,41;BILBAO
14;FIUMICINO
14;ROMA
53;SALERNO
39;ROMA
52,3;ROMA
52,3;NAPOLI
114,3;TORINO
109,8;ROMA
45;MILANO
52,3;ROMA
52,3;NAPOLI
147,33;KONYA
9,64;ABU DHABI
1696,91;ABU DHABI
-9,64;ABU DHABI
-1687,27;ABU DHABI
7,58;LONDRA
11,95;LONDRA
318,09;No_Travel To
-144;KONYA
103;KONYA
540;ISTANBUL
12;NIZZA
63,25;NIZZA
39,5;ROMA
39,5;NAPOLI
226;PARIGI
-311,79;TANGIER
86,45;NIZZA
63,59;JAKARTA
57,6;MALANG
204,1;MALANG
151,8;MALANG
0,06;MALANG
280,44;KONYA
382,32;KONYA
270,55;No_Travel To
25,7;ROMA
52,3;NAPOLI
52,3;ROMA
25,7;NAPOLI
73,35;MERIGNAC
96,38;HYERES
116,5;NIZZA
50;No_Travel To
50;No_Travel To
-50;No_Travel To
50;No_Travel To
360;ISTANBUL
67,1;JAKARTA
77,42;JAKARTA
332,5;MALANG
138;MALANG
154,84;MALANG
97,1;GIACARTA
74,5;VENEZIA
74,5;ROMA
105,3;VENEZIA
105,3;ROMA
141,09;KONYA
86,08;No_Travel To
14,04;ABU DHABI
39,5;ROMA
39,5;NAPOLI
96,3;PADOVA
96,3;ROMA
728,4;ISTANBUL
729;ISTANBUL
-728,4;ISTANBUL
-729;ISTANBUL
68,4;ROMA
24,3;BOLOGNA
16,6;RIMINI
68,4;BOLOGNA
3,35;RIMINI
-16,6;RIMINI
27;RIMINI
169,23;KONYA
245,35;KONYA
318,6;KONYA
12;NIZZA
86,45;NIZZA
147,33;KONYA
223,7;No_Travel To
253,1;No_Travel To
318;BRUXELLES
230,1;No_Travel To
133,12;CATANIA
50;CATANIA
68,4;ROMA
9,85;BOLOGNA
24,3;RIMINI
77,4;BOLOGNA
178,08;No_Travel To
103,12;CATANIA
49,9;ROMA
16,6;BOLOGNA
24,3;RIMINI
54,9;BOLOGNA
124;No_Travel To
455;BISCARROSSE
324;BISCARROSSE
502,56;BRUXELLES
10,84;ROMA
-54,2;ROMA
19,13;ABU DHABI
16,65;ABU DHABI
155,49;No_Travel To
199,07;No_Travel To
540;ISTANBUL
109,8;ROMA
109,8;MILANO
141,09;KONYA
86,08;No_Travel To
105,3;VENEZIA
105,3;ROMA
534,04;No_Travel To
1535,48;ABU DHABI
-1526,75;ABU DHABI
287;PARIGI
187,6;CASABLANCA
880;AMSTERDAM
287,25;No_Travel To
109,8;ROMA
103;MILANO
398,79;BRUXELLES
-307,71;TANGIER
110,41;RABAT
155,8;CASABLANCA
-110,41;RABAT
63,72;KONYA
62,1;KONYA
153;ERDING
190,09;No_Travel To
320,92;No_Travel To
206,58;No_Travel To
52,3;ROMA
52,3;NAPOLI
15,71;WARSAW
52,3;ROMA
52,3;NAPOLI
169,23;KONYA
478,24;No_Travel To
528,3;No_Travel To
18,21;ABU DHABI
129;MILANO
109,8;ROMA
180;ISTANBUL
109,8;MILANO
101,7;ROMA
109,8;MILANO
109,8;ROMA
153;ERDING
153;ERDING
114,3;TORINO
54,2;ROMA
54,2;FIRENZE
39;ROMA
53;NAPOLI
128,7;VENEZIA
128,7;NAPOLI
52,3;ROMA
52,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
52,3;ROMA
52,3;NAPOLI
-52,3;ROMA
-52,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
52,3;ROMA
114,3;TORINO
86,5;MILANO
109,8;ROMA
114,3;ROMA
114,3;TORINO
63;ROMA
74,5;VENEZIA
74,5;ROMA
105,3;VENEZIA
105,3;ROMA
105,3;VENEZIA
105,3;ROMA
305;PARIGI
52,3;ROMA
54,9;NAPOLI
74,5;VENEZIA
74,5;ROMA
797,83;CHATSWORTH
42,7;No_Travel To
105,3;VENEZIA
105,3;ROMA
4,4;FIRENZE
4,4;EMPOLI
39,5;ROMA
39,5;FIRENZE
52,3;ROMA
4,3;SALERNO
54,9;NAPOLI
19;NAPOLI
30,5;No_Travel To
-311,79;TANGIER
110,41;RABAT
155,8;CASABLANCA
109,8;MILANO
109,8;ROMA
109,8;MILANO
109,8;ROMA
109,8;MILANO
109,8;ROMA
109,8;MILANO
109,8;ROMA
112,68;No_Travel To
55,99;No_Travel To
54,2;VENEZIA
8,4;FIRENZE
3,4;MEOLO
209,4;No_Travel To
132,95;CATANIA
258,35;No_Travel To
120,42;TOULOUSE
253,27;No_Travel To
105,3;ROMA
105,3;VENEZIA
105,3;ROMA
105,3;VENEZIA
105,3;ROMA
115;No_Travel To
140,5;No_Travel To
146,04;No_Travel To
181,59;No_Travel To
200;LISBON
101,25;PARAY VIEILLE P
70;PARIGI
44,7;ROMA
44,7;FIRENZE
74,5;VENEZIA
74,5;ROMA
75,6;ROMA
52,3;ROMA
52,3;NAPOLI
109,8;ROMA
109,8;MILANO
39,5;ROMA
39,5;NAPOLI
46;TANGERANG
-46;TANGERANG
2301;MALANG
-2301;MALANG
105,3;VENEZIA
105,3;ROMA
588;MALANG
55,09;TANGERANG
-55,09;TANGERANG
53;MALANG
199,7;MALANG
-588;MALANG
76,96;JAKARTA
1820;MALANG
55,09;TANGERANG
-55,09;TANGERANG
199,7;MALANG
588;MALANG
76,96;JAKARTA
53;MALANG
1820;MALANG
-588;MALANG
8,3;NOVARA
109,8;MILANO
129;ROMA
8,3;MILANO
14;FIUMICINO
14;ROMA
114,3;TORINO
114,3;ROMA
1535,48;ABU DHABI
-1526,75;ABU DHABI
263,81;No_Travel To
302,4;CASABLANCA
52,3;ROMA
52,3;NAPOLI
46;TANGERANG
-46;TANGERANG
2301;MALANG
-2301;MALANG
109,8;MILANO
5,5;MILANO
109,8;ROMA
46;TANGERANG
-46;TANGERANG
2301;MALANG
-2301;MALANG
641,9;MALANG
55,09;TANGERANG
-55,09;TANGERANG
58;MALANG
199,7;MALANG
-641,9;MALANG
76,96;JAKARTA
1820;MALANG
230,4;MALANG
52,3;ROMA
58;BOLOGNA
58;ROMA
1;ROMA
68,4;BOLOGNA
1;LA RUSTICA
58;ROMA
58;BOLOGNA
229,6;No_Travel To
262,1;No_Travel To
79,7;GENOVA
26,1;GENOVA
109,8;MILANO
33,3;GENOVA
66,6;ROMA
39,5;ROMA
39,5;NAPOLI
54,2;ROMA
54,2;FIRENZE
100,8;NAPOLI
100,8;FIRENZE
100,8;NAPOLI
100,8;FIRENZE
74,5;ROMA
74,5;MILANO
8,64;ROMA
43,2;ROMA
2,6;LIVORNO
11,9;PISA
59,4;PISA
-43,2;ROMA
-59,4;PISA
69;ROMA
54,2;ROMA
54,2;FIRENZE
60,3;FIRENZE
54,2;ROMA
43;FIRENZE
109,8;ROMA
109,8;MILANO
109,8;ROMA
109,8;MILANO
797,83;CHATSWORTH
105,3;VENEZIA
105,3;ROMA
96,3;PADOVA
96,3;ROMA
109,8;ROMA
109,8;MILANO
52,3;ROMA
52,3;NAPOLI
57,6;LIVORNO
43,2;ROMA
-43,2;ROMA
87,4;NAPOLI
9,6;FIRENZE
110;ROMA
109,8;ROMA
109,8;MILANO
14;FIUMICINO
14;ROMA
450;ISTANBUL
128,7;VENEZIA
31,4;VERONA
113,4;NAPOLI
450;ISTANBUL
46;TANGERANG
-46;TANGERANG
2301;MALANG
-2301;MALANG
641,9;MALANG
55,09;TANGERANG
-55,09;TANGERANG
58;MALANG
199,7;MALANG
-641,9;MALANG
76,96;JAKARTA
1209;MALANG
450;ISTANBUL
105,3;VENEZIA
105,3;ROMA
148;GREIFSWALD
364,56;No_Travel To
-56,12;FIUMICINO
130,03;FIUMICINO
431,53;KONYA
130,03;FIUMICINO
431,53;KONYA
130,03;FIUMICINO
579,44;KONYA
130,03;FIUMICINO
261,96;VENEZIA
92;CAGLIARI
360,44;ISTANBUL
-34,2;BORDEAUX
73,92;CAGLIARI
470,37;FIUMICINO
130,03;FIUMICINO
783,44;KONYA
691,99;TOLOUSE
167,79;CAGLIARI
182,12;TORINO
280,89;BORDEAUX
73,92;CAGLIARI
200,37;FIUMICINO
382,37;FIUMICINO
51,7;CAGLIARI
130,03;FIUMICINO
431,53;KONYA
431,53;KONYA
304,53;KONYA
73,92;CAGLIARI
141,35;MILANO
130,03;FIUMICINO
130,03;FIUMICINO
130,03;CAGLIARI
360,44;ISTANBUL
169,03;CAGLIARI
56,12;FIUMICINO
800,09;BILBAO
130,03;CAGLIARI
130,03;CAGLIARI
130,03;CAGLIARI
122,53;CIAMPINO
130,03;FIUMICINO
534,45;KONYA
130,03;CAGLIARI
73,92;CAGLIARI
-73,92;CAGLIARI
575,59;TORINO
-699,33;ISTANBUL
-1732,52;KONYA
336,39;ISTANBUL
234,02;KONYA
182,78;FIUMICINO
253,44;ISTANBUL
298,96;FIUMICINO
24;CASABLANCA
-122,2;CASABLANCA
130,03;FIUMICINO
120;FIUMICINO
2048,88;GIACARTA
414,81;LAMEZIA TERME
130,03;FIUMICINO
783,44;KONYA
783,38;KONYA
427,45;ESENBOGA
662,02;CAGLIARI
536,83;NIZZA
130,03;FIUMICINO
130,03;CAGLIARI
100,05;CIAMPINO
355,44;ISTANBUL
345,85;CATANIA
130,03;FIUMICINO
2307,88;GIACARTA
255,8;CATANIA
330,85;CATANIA
130,03;CAGLIARI
304,53;KONYA
73,92;CAGLIARI
350,98;CATANIA
38,67;CAGLIARI
143,07;CATANIA
3647,5;DOHA
130,45;DUBAI
983,38;ISTANBUL
130,03;CAGLIARI
703,52;KONYA
431,53;KONYA
376,85;CATANIA
130,03;FIUMICINO
534,45;KONYA
209,08;CATANIA
617,33;BRUXELLES
167,79;CAGLIARI
51,7;CAGLIARI
-124;No_Travel To
703,59;BORDEAUX
182,12;TORINO
280,89;BORDEAUX
73,92;CAGLIARI
200,37;FIUMICINO
382,37;FIUMICINO
853,3;ADDIS ADEBA BOLE
718,92;BRUXELLES
56,12;FIUMICINO
73,92;CAGLIARI
253,44;ISTANBUL
1198,52;DOHA
768,13;KUWAIT CITY
319,53;KONYA
73,92;CAGLIARI
551,7;PARIGI
535,83;CASABLANCA
603,63;BRUXELLES
222,18;FIUMICINO
350,98;CATANIA
185,78;CAGLIARI
185,39;BOLOGNA
-73,92;CAGLIARI
75;CASABLANCA
130,03;FIUMICINO
571,36;KONYA
213,39;MUNCHIN
358,33;BRUXELLES
679,33;BRUXELLES
155,46;CATANIA
129,84;NAPOLI
151;NAPOLI
169;NAPOLI
-151;NAPOLI
336,29;CATANIA
122;NAPOLI
365,45;ESENBOGA
703,52;KONYA
130,03;CAGLIARI
272,38;ISTANBUL
-272,38;ISTANBUL
320,16;ISTANBUL
796,13;ESENBOGA
130,03;CAGLIARI
213,39;MUNCHIN
56,12;FIUMICINO
153,29;CAGLIARI
-56,12;FIUMICINO
213,39;MUNCHIN
238,68;FIUMICINO
44;FIUMICINO
130,03;FIUMICINO
130,03;CAGLIARI
476,66;BARCELLONA
571,7;PARIGI
1316,03;LOS ANGELES
-73,92;CAGLIARI
185,78;CAGLIARI
185,39;BOLOGNA
162,84;FIUMICINO
115,92;CATANIA
102,07;VENEZIA
122,69;VENEZIA
130,03;FIUMICINO
211,96;CAGLIARI
130,03;CAGLIARI
130,03;FIUMICINO
130,03;CAGLIARI
115,79;VENEZIA
130,03;CAGLIARI
130,03;CAGLIARI
691,99;TOLOUSE
679,33;BRUXELLES
276,16;BRINDISI
350,16;BRINDISI
280,16;BRINDISI
280,16;BRINDISI
228,92;VENEZIA
207,75;CATANIA
318,75;CATANIA
115,92;CATANIA
102,84;FIUMICINO
211,75;CATANIA
379,45;ESENBOGA
101,92;ESENBOGA
109,21;FIUMICINO
33;BRINDISI
-109,21;FIUMICINO
1290,42;GIACARTA
1023,98;GIACARTA
230;GIACARTA
-1016,46;GIACARTA
149,93;BRUXELLES
244,59;FIUMICINO
208,74;BRUXELLES
396,59;FIUMICINO
574,16;LISBON
130,03;CAGLIARI
289,32;BARI
1598,88;GIACARTA
1598,88;GIACARTA
412,26;GENOVA
416,26;GENOVA
384,26;GENOVA
362,75;CATANIA
388,26;GENOVA
354,26;GENOVA
84,92;GENOVA
135,35;FIUMICINO
56,12;FIUMICINO
365,45;ESENBOGA
207,92;BRINDISI
169,74;FIUMICINO
73,92;CAGLIARI
130,03;FIUMICINO
188,38;CASABLANCA
287,53;FIUMICINO
1598,88;GIACARTA
289,35;FIUMICINO
161,35;FIUMICINO
109,21;FIUMICINO
92,17;BRINDISI
273,87;VENEZIA
130,03;CAGLIARI
487,59;TORINO
1316,03;LOS ANGELES
360,48;AMSTERDAM
73,92;CAGLIARI
-73,92;CAGLIARI
130,03;CAGLIARI
142,75;CAGLIARI
130,03;CAGLIARI
241,74;BRUXELLES
390,38;ISTANBUL
1598,88;GIACARTA
130,03;CAGLIARI
147,73;BERLIN
118,49;MARSEILLE
80,21;FIUMICINO
62,94;BRINDISI
435,81;AMSTERDAM
524,81;AMSTERDAM
-524,81;AMSTERDAM
295,68;No_Travel To
259,87;No_Travel To
237;ROMA
208,7;ROMA
230,7;ROMA
-133,5;ROMA
-208,7;ROMA
300;TERRANUOVA BRAC
256;ISTRANA
114;ROMA
119;ROMA
-114;ROMA
220;ROMA
230;ROMA
-220;ROMA
90;FIUMICINO
247,23;No_Travel To
336;CATANIA
353,81;No_Travel To
252;CATANIA
221,89;No_Travel To
64;BOLOGNA
398,44;No_Travel To
375;CIVITA CASTELLA
65;MANFREDONIA
65;MANFREDONIA
107,1;ROMA
160,2;ROMA
89;ROMA
98;ROMA
508,5;CATANIA
-505,5;CATANIA
265,79;No_Travel To
258;CAGLIARI
80;MONCALIERI
65;MANFREDONIA
130;MANFREDONIA
-65;MANFREDONIA
54,61;No_Travel To
90;FIUMICINO
-90;FIUMICINO
69;BOLOGNA
480;CATANIA
504;CATANIA
336;CATANIA
370,66;No_Travel To
1092;CATANIA
252,53;No_Travel To
252;CATANIA
-336;CATANIA
91,52;CATANIA
80;CATANIA
-80;CATANIA
102,05;No_Travel To
100;PADUA
133,99;No_Travel To
163,68;No_Travel To
89,62;No_Travel To
243;ROMA
81,23;No_Travel To
166,57;No_Travel To
504;CATANIA
336;CATANIA
336;CATANIA
158;ROMA
170;ROMA
-170;ROMA
252;CATANIA
249,3;ROMA
90;FIUMICINO
306;LA SPEZIA
184;LA SPEZIA
200;LA SPEZIA
-184;LA SPEZIA
170;ASSEMINI
225;ASSEMINI
297;QUINTO DI TREVI
396;CATANIA
50,06;No_Travel To
89;CATANIA
199,26;No_Travel To
504;CATANIA
150;CATANIA
168;CATANIA
-108;FIUMICINO
64;BOLOGNA
202,4;COLORNO
356;TORRILE
149,44;No_Travel To
71;LECCE
240;DOMODOSSOLA
170;DOMODOSSOLA
255;DOMODOSSOLA
119;TORINO
180;FIUMICINO
60;MALBORGHETTO VA
140;TARQUINIA
110,45;No_Travel To
89;ROMA
196;ROMA
65;MANFREDONIA
75,6;ROMA
243,9;No_Travel To
75,6;ROMA
44,87;No_Travel To
95;PORTOGRUARO
-108;FIUMICINO
243,05;No_Travel To
196,93;No_Travel To
47,95;No_Travel To
107,7;No_Travel To
111,03;No_Travel To
131,1;No_Travel To
98,58;No_Travel To
103,94;No_Travel To
201,26;No_Travel To
99,03;No_Travel To
132,11;No_Travel To
150;ASSEMINI
149,44;No_Travel To
67,09;No_Travel To
160;TARQUINIA
312;ASSEMINI
178;LIVORNO
222,83;No_Travel To
325;POGGIARDO
350;POGGIARDO
-325;POGGIARDO
210;POGGIARDO
240;TERRANUOVA BRAC
210;POGGIARDO
240;TERRANUOVA BRAC
192;ISTRANA
114;ISTRANA
59;MANFREDONIA
-236;MANFREDONIA
69;ROMA
50;ZOPPOLA
243,9;No_Travel To
182,93;No_Travel To
339,4;No_Travel To
182,93;No_Travel To
243,9;No_Travel To
198;CATANIA
330;CATANIA
180;CATANIA
40,7;No_Travel To
200;CATANIA
-40,7;No_Travel To
130;PERUGIA
260;POGGIARDO
280;POGGIARDO
-260;POGGIARDO
210;POGGIARDO
210;POGGIARDO
204;MORTARA
131,1;No_Travel To
218,49;No_Travel To
199,8;ROMA
-266,4;ROMA
66,6;ROMA
146,7;ROMA
-222,3;ROMA
70;GIOIA DEL COLLE
87,4;No_Travel To
144;TIVOLI
284;QUINTO DI TREVI
297;QUINTO DI TREVI
-297;QUINTO DI TREVI
331,11;No_Travel To
50,06;No_Travel To
210,72;No_Travel To
160;ALASSIO
112,29;No_Travel To
160;ALASSIO
283,43;No_Travel To
160;ALASSIO
203,94;No_Travel To
69;NOVARA
85;TAORMINA
63,9;MONCALIERI
160;ALASSIO
240;ALASSIO
240;ALASSIO
44,87;No_Travel To
121,95;No_Travel To
50,06;No_Travel To
280;POGGIARDO
75;ROMA
150;ROMA
-75;ROMA
210;POGGIARDO
69;ROMA
140;POGGIARDO
280;POGGIARDO
202,4;COLORNO
356;TORRILE
-202,4;COLORNO
80;BERGAMO
75;ROMA
74;ROMA
79;ROMA
-74;ROMA
379;QUINTO DI TREVI
136;ROMA
89;ROMA
98;ROMA
234;SANTA MARGHERIT
72,86;ARENZANO
150;TRIVERO
180;ISTRANA
85;ALASSIO
85;ALASSIO
199,8;ROMA
-266,4;ROMA
235;TERRANUOVA BRAC
-300;CIVITA CASTELLA
225;CIVITA CASTELLA
180;TERRANUOVA BRAC
103,94;No_Travel To
120;TERRANUOVA BRAC
165;TERRANUOVA BRAC
86;TRIVERO
100;TRIVERO
-86;TRIVERO
122;FIRENZE
60,98;No_Travel To
119;TORINO
130;PERUGIA
70;CAMPOBASSO
54;ISERNIA
279;ROMA
133,2;ROMA
327;ROMA
350;POGGIARDO
210;POGGIARDO
210;POGGIARDO
280;POGGIARDO
300;MALBORGHETTO VA
240;MALBORGHETTO VA
-300;MALBORGHETTO VA
180;MALBORGHETTO VA
120;MALBORGHETTO VA
180;MALBORGHETTO VA
53,1;MANFREDONIA
160;ROMA
133,2;ROMA
196,2;ROMA
189,41;No_Travel To
85;PORTOGRUARO
100;PADUA
104;ROMA
55;MERCOGLIANO
80;LIVORNO
114;ROMA
119;ROMA
-114;ROMA
135;ROMA
266,59;No_Travel To
109;ROMA
80;ARZACHENA
80;ARZACHENA
80;ARZACHENA
258;CAGLIARI
80;ARZACHENA
297;QUINTO DI TREVI
119,6;ROMA
405;BISCARROSSE
-405;BISCARROSSE
-341,84;No_Travel To
86;TOULOUSE
334;MUNICH
460,41;THE HAGUE
409,05;No_Travel To
98;PRAGA
100,75;PARAY VIEILLE P
70;PARIGI
53,68;No_Travel To
-388,92;No_Travel To
101,25;PARAY VIEILLE P
612,72;CAYENNE
1019,14;PARIGI
96,55;PARAY VIEILLE P
105,3;ROMA
105,3;VENEZIA
70;PARIGI
105,3;ROMA
105,3;VENEZIA
101,25;PARAY VIEILLE P
612,72;CAYENNE
243;BISCARROSSE
91,35;MERIGNAC
105,3;ROMA
105,3;VENEZIA
420;BISCARROSSE
112;MERIGNAC
99;AGADIR
89;CASABLANCA
-89;CASABLANCA
105,3;ROMA
105,3;VENEZIA
243;BISCARROSSE
82,35;MERIGNAC
-82,35;MERIGNAC
105,3;ROMA
105,3;VENEZIA
101,7;ROMA
101,7;MILANO
54,72;SALY PORTUDAL
-193,61;No_Travel To
100,75;PARAY VIEILLE P
-201,57;No_Travel To
58;ROMA
12,2;BOLOGNA
14;ROMA
-478,07;No_Travel To
14;ROMA
74;ROMA
109,8;ROMA
109,8;MILANO
281,03;CIAMPINO
-396,82;No_Travel To
10;BUCAREST
-179,75;No_Travel To
109,8;ROMA
109,8;MILANO
109,8;ROMA
109,8;MILANO
-93,94;No_Travel To
10,4;SALERNO
52,3;NAPOLI
53,2;ROMA
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
-193,59;No_Travel To
-169,14;No_Travel To
-218,11;No_Travel To
52,3;ROMA
52,3;NAPOLI
42,8;ROMA
42,8;NAPOLI
52,3;ROMA
52,3;NAPOLI
105,3;VENEZIA
105,3;ROMA
52,3;ROMA
52,3;NAPOLI
202,21;No_Travel To
238;THE HAGUE
86,88;HYERES
137;TOULON
39,5;ROMA
39,5;NAPOLI
-39,5;ROMA
-39,5;NAPOLI
52,3;ROMA
52,3;NAPOLI
19,4;PARMA
58;BOLOGNA
68,4;ROMA
19,4;BOLOGNA
52,3;ROMA
52,3;NAPOLI
473,33;No_Travel To
52,3;ROMA
52,3;NAPOLI
-471,65;No_Travel To
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
243;BISCARROSSE
91,35;MERIGNAC
291,22;No_Travel To
301,53;No_Travel To
93,11;No_Travel To
112,16;No_Travel To
-548,68;No_Travel To
420;BISCARROSSE
112;MERIGNAC
145;ALCOBENDAS
270;MAZAGON
243;BISCARROSSE
82,35;MERIGNAC
89,4;No_Travel To
-89,4;No_Travel To
-82,35;MERIGNAC
-277,7;No_Travel To
1527,22;No_Travel To
50;No_Travel To
50;No_Travel To
103,41;CATANIA
96,55;PARAY VIEILLE P
177,32;No_Travel To
183,2;No_Travel To
-42,7;No_Travel To
134,55;PARAY VIEILLE P
-402,58;No_Travel To
77,78;No_Travel To
270;ISTANBUL
104,9;LA TESTE DE BUC
135;ISTANBUL
93,11;No_Travel To
112,16;No_Travel To
405;BISCARROSSE
-405;BISCARROSSE
-255,26;No_Travel To
344;BISCARROSSE
77,4;ROMA
24,3;BOLOGNA
24,3;RIMINI
68,4;BOLOGNA
1808,41;No_Travel To
103,41;CATANIA
-622;No_Travel To
-111,76;No_Travel To
68,4;ROMA
68,4;BOLOGNA
105,3;VENEZIA
