Totalsales;Travel To
127;FIUMICINO
187,8;CATANIA
132,3;CATANIA
119,3;CATANIA
-119,3;CATANIA
132,08;CAGLIARI
692,66;GENOVA
515;COPENAGHEN
361,69;PALERMO
615,71;COPENAGHEN
123,3;FIUMICINO
247,8;CATANIA
132,08;CAGLIARI
100;AGADIR
482,64;AGADIR
-482,64;AGADIR
124;GENOVA
373,66;GENOVA
183,81;GENOVA
132,08;FIUMICINO
57,12;FIUMICINO
74,96;CAGLIARI
132,08;CAGLIARI
129,78;BUDAPEST
258,97;BELGRADE
754,24;CASABLANCA
391,35;FIUMICINO
692,69;ATENE
259,72;AMMAN
